"uri","righteyex","righteyey","lefteyex","lefteyey"
"nd1/Fall2002/2002-240/04461d00.JPG",401,568,616,573
"nd1/Fall2002/2002-240/04461d01.JPG",410,584,625,590
"nd1/Fall2002/2002-240/04461d04.JPG",636,561,747,563
"nd1/Fall2002/2002-240/04461d05.JPG",647,576,762,584
"nd1/Fall2002/2002-240/04522d02.JPG",500,681,704,675
"nd1/Fall2002/2002-240/04522d03.JPG",499,682,705,678
"nd1/Fall2002/2002-240/04522d04.JPG",773,647,883,645
"nd1/Fall2002/2002-240/04522d05.JPG",759,653,875,654
"nd1/Fall2002/2002-240/04523d02.JPG",533,690,712,692
"nd1/Fall2002/2002-240/04523d03.JPG",536,685,712,690
"nd1/Fall2002/2002-240/04523d04.JPG",666,619,775,625
"nd1/Fall2002/2002-240/04523d05.JPG",625,616,735,621
"nd1/Fall2002/2002-240/04525d00.JPG",473,737,675,713
"nd1/Fall2002/2002-240/04525d01.JPG",496,733,696,707
"nd1/Fall2002/2002-240/04525d04.JPG",708,402,816,395
"nd1/Fall2002/2002-240/04525d05.JPG",689,401,794,392
"nd1/Fall2002/2002-240/04556d00.JPG",547,576,764,561
"nd1/Fall2002/2002-240/04556d01.JPG",554,576,770,557
"nd1/Fall2002/2002-240/04556d04.JPG",703,548,818,536
"nd1/Fall2002/2002-240/04556d05.JPG",721,545,835,537
"nd1/Fall2002/2002-240/04557d00.JPG",559,774,746,767
"nd1/Fall2002/2002-240/04557d01.JPG",549,784,734,773
"nd1/Fall2002/2002-240/04557d04.JPG",568,669,675,659
"nd1/Fall2002/2002-240/04557d05.JPG",572,665,678,658
"nd1/Fall2002/2002-241/04207d58.JPG",506,715,712,690
"nd1/Fall2002/2002-241/04207d59.JPG",505,711,714,686
"nd1/Fall2002/2002-241/04207d62.JPG",615,771,720,760
"nd1/Fall2002/2002-241/04207d63.JPG",627,772,734,762
"nd1/Fall2002/2002-241/04217d58.JPG",562,555,754,530
"nd1/Fall2002/2002-241/04217d59.JPG",567,579,757,556
"nd1/Fall2002/2002-241/04217d62.JPG",450,554,567,546
"nd1/Fall2002/2002-241/04217d63.JPG",465,553,580,541
"nd1/Fall2002/2002-241/04219d58.JPG",349,714,566,670
"nd1/Fall2002/2002-241/04219d59.JPG",398,669,616,633
"nd1/Fall2002/2002-241/04219d62.JPG",552,531,670,523
"nd1/Fall2002/2002-241/04219d63.JPG",565,514,686,510
"nd1/Fall2002/2002-241/04222d58.JPG",474,685,663,672
"nd1/Fall2002/2002-241/04222d59.JPG",462,690,653,678
"nd1/Fall2002/2002-241/04222d62.JPG",693,458,803,454
"nd1/Fall2002/2002-241/04222d63.JPG",681,460,793,453
"nd1/Fall2002/2002-241/04265d42.JPG",592,700,772,681
"nd1/Fall2002/2002-241/04265d43.JPG",604,698,786,682
"nd1/Fall2002/2002-241/04265d46.JPG",616,796,725,798
"nd1/Fall2002/2002-241/04265d47.JPG",650,797,760,791
"nd1/Fall2002/2002-241/04274d24.JPG",621,525,824,512
"nd1/Fall2002/2002-241/04274d25.JPG",607,517,808,507
"nd1/Fall2002/2002-241/04274d28.JPG",654,434,767,431
"nd1/Fall2002/2002-241/04274d29.JPG",676,435,788,430
"nd1/Fall2002/2002-241/04295d02.JPG",473,713,642,690
"nd1/Fall2002/2002-241/04295d03.JPG",476,712,644,692
"nd1/Fall2002/2002-241/04295d04.JPG",519,545,639,537
"nd1/Fall2002/2002-241/04295d05.JPG",559,544,668,538
"nd1/Fall2002/2002-241/04309d00.JPG",571,487,750,463
"nd1/Fall2002/2002-241/04309d01.JPG",550,504,733,480
"nd1/Fall2002/2002-241/04309d04.JPG",724,614,824,603
"nd1/Fall2002/2002-241/04309d05.JPG",757,595,859,600
"nd1/Fall2002/2002-241/04335d02.JPG",598,760,789,733
"nd1/Fall2002/2002-241/04335d03.JPG",598,750,786,727
"nd1/Fall2002/2002-241/04335d04.JPG",727,436,842,425
"nd1/Fall2002/2002-241/04335d05.JPG",726,442,838,430
"nd1/Fall2002/2002-241/04358d00.JPG",451,626,617,612
"nd1/Fall2002/2002-241/04358d01.JPG",502,615,668,598
"nd1/Fall2002/2002-241/04358d04.JPG",668,460,771,455
"nd1/Fall2002/2002-241/04358d05.JPG",652,463,755,454
"nd1/Fall2002/2002-241/04365d00.JPG",576,650,779,604
"nd1/Fall2002/2002-241/04365d01.JPG",579,659,787,622
"nd1/Fall2002/2002-241/04365d04.JPG",607,339,725,338
"nd1/Fall2002/2002-241/04365d05.JPG",597,345,714,345
"nd1/Fall2002/2002-241/04387d00.JPG",496,616,698,609
"nd1/Fall2002/2002-241/04387d01.JPG",481,635,682,625
"nd1/Fall2002/2002-241/04387d04.JPG",609,592,716,596
"nd1/Fall2002/2002-241/04387d05.JPG",589,590,696,595
"nd1/Fall2002/2002-241/04397d00.JPG",525,676,715,660
"nd1/Fall2002/2002-241/04397d01.JPG",513,676,702,664
"nd1/Fall2002/2002-241/04397d04.JPG",676,461,784,460
"nd1/Fall2002/2002-241/04397d05.JPG",656,480,766,473
"nd1/Fall2002/2002-241/04403d00.JPG",618,608,800,595
"nd1/Fall2002/2002-241/04403d01.JPG",629,597,812,584
"nd1/Fall2002/2002-241/04403d04.JPG",703,680,800,679
"nd1/Fall2002/2002-241/04403d05.JPG",712,677,810,680
"nd1/Fall2002/2002-241/04423d02.JPG",528,611,710,586
"nd1/Fall2002/2002-241/04423d03.JPG",521,616,698,598
"nd1/Fall2002/2002-241/04423d04.JPG",656,603,758,603
"nd1/Fall2002/2002-241/04423d05.JPG",575,603,676,601
"nd1/Fall2002/2002-241/04434d00.JPG",562,802,763,790
"nd1/Fall2002/2002-241/04434d01.JPG",577,809,779,791
"nd1/Fall2002/2002-241/04434d04.JPG",655,689,767,689
"nd1/Fall2002/2002-241/04434d05.JPG",688,674,801,682
"nd1/Fall2002/2002-241/04436d00.JPG",472,656,664,628
"nd1/Fall2002/2002-241/04436d01.JPG",501,628,693,625
"nd1/Fall2002/2002-241/04436d04.JPG",724,355,838,344
"nd1/Fall2002/2002-241/04436d05.JPG",766,349,879,368
"nd1/Fall2002/2002-241/04488d00.JPG",617,557,814,532
"nd1/Fall2002/2002-241/04488d01.JPG",617,578,812,549
"nd1/Fall2002/2002-241/04488d04.JPG",638,702,738,688
"nd1/Fall2002/2002-241/04488d05.JPG",672,694,773,682
"nd1/Fall2002/2002-241/04489d00.JPG",481,583,643,559
"nd1/Fall2002/2002-241/04489d01.JPG",479,587,641,562
"nd1/Fall2002/2002-241/04489d04.JPG",643,785,751,775
"nd1/Fall2002/2002-241/04489d05.JPG",635,786,741,772
"nd1/Fall2002/2002-241/04509d00.JPG",652,690,841,685
"nd1/Fall2002/2002-241/04509d01.JPG",652,717,845,709
"nd1/Fall2002/2002-241/04509d04.JPG",706,751,806,755
"nd1/Fall2002/2002-241/04509d05.JPG",684,742,782,734
"nd1/Fall2002/2002-241/04512d02.JPG",617,640,818,614
"nd1/Fall2002/2002-241/04512d03.JPG",569,654,770,630
"nd1/Fall2002/2002-241/04512d04.JPG",657,489,774,482
"nd1/Fall2002/2002-241/04512d05.JPG",651,491,769,485
"nd1/Fall2002/2002-241/04540d02.JPG",452,644,636,632
"nd1/Fall2002/2002-241/04540d03.JPG",484,676,672,660
"nd1/Fall2002/2002-241/04540d04.JPG",664,656,779,658
"nd1/Fall2002/2002-241/04540d05.JPG",713,651,831,647
"nd1/Fall2002/2002-241/04551d00.JPG",644,516,839,511
"nd1/Fall2002/2002-241/04551d01.JPG",644,515,844,514
"nd1/Fall2002/2002-241/04551d04.JPG",557,654,669,653
"nd1/Fall2002/2002-241/04551d05.JPG",592,660,701,662
"nd1/Fall2002/2002-241/04558d00.JPG",531,744,734,728
"nd1/Fall2002/2002-241/04558d01.JPG",501,726,701,707
"nd1/Fall2002/2002-241/04558d04.JPG",725,413,847,413
"nd1/Fall2002/2002-241/04558d05.JPG",705,418,827,421
"nd1/Fall2002/2002-241/04559d00.JPG",447,582,659,566
"nd1/Fall2002/2002-241/04559d01.JPG",458,576,673,567
"nd1/Fall2002/2002-241/04559d04.JPG",656,633,777,640
"nd1/Fall2002/2002-241/04559d05.JPG",607,631,728,630
"nd1/Fall2002/2002-241/04561d00.JPG",586,729,775,713
"nd1/Fall2002/2002-241/04561d01.JPG",574,756,761,741
"nd1/Fall2002/2002-241/04561d04.JPG",554,585,665,585
"nd1/Fall2002/2002-241/04561d05.JPG",515,589,629,588
"nd1/Fall2002/2002-241/04564d02.JPG",563,681,761,678
"nd1/Fall2002/2002-241/04564d03.JPG",555,691,753,686
"nd1/Fall2002/2002-241/04564d04.JPG",687,464,797,473
"nd1/Fall2002/2002-241/04564d05.JPG",703,462,814,472
"nd1/Fall2002/2002-241/04575d02.JPG",608,884,790,879
"nd1/Fall2002/2002-241/04575d03.JPG",614,889,795,884
"nd1/Fall2002/2002-241/04575d04.JPG",931,483,1030,486
"nd1/Fall2002/2002-241/04575d05.JPG",946,474,1044,480
"nd1/Fall2002/2002-241/04579d02.JPG",532,599,716,587
"nd1/Fall2002/2002-241/04579d03.JPG",534,593,721,581
"nd1/Fall2002/2002-241/04579d04.JPG",764,435,876,431
"nd1/Fall2002/2002-241/04579d05.JPG",781,441,895,437
"nd1/Fall2002/2002-246/04211d58.JPG",574,952,758,938
"nd1/Fall2002/2002-246/04211d59.JPG",582,958,767,942
"nd1/Fall2002/2002-246/04211d62.JPG",669,326,771,324
"nd1/Fall2002/2002-246/04211d63.JPG",681,324,780,321
"nd1/Fall2002/2002-246/04213d52.JPG",530,990,730,967
"nd1/Fall2002/2002-246/04213d53.JPG",536,992,730,965
"nd1/Fall2002/2002-246/04213d56.JPG",868,469,976,468
"nd1/Fall2002/2002-246/04213d57.JPG",855,474,965,474
"nd1/Fall2002/2002-246/04392d00.JPG",501,792,695,762
"nd1/Fall2002/2002-246/04392d01.JPG",488,796,680,765
"nd1/Fall2002/2002-246/04392d04.JPG",763,459,861,451
"nd1/Fall2002/2002-246/04392d05.JPG",751,457,854,446
"nd1/Fall2002/2002-246/04400d00.JPG",524,839,727,818
"nd1/Fall2002/2002-246/04400d01.JPG",522,839,723,822
"nd1/Fall2002/2002-246/04400d04.JPG",649,543,753,526
"nd1/Fall2002/2002-246/04400d05.JPG",663,545,769,528
"nd1/Fall2002/2002-246/04415d02.JPG",436,456,632,437
"nd1/Fall2002/2002-246/04415d03.JPG",443,462,640,436
"nd1/Fall2002/2002-246/04415d04.JPG",731,402,842,395
"nd1/Fall2002/2002-246/04415d05.JPG",676,412,783,402
"nd1/Fall2002/2002-246/04442d00.JPG",487,815,683,802
"nd1/Fall2002/2002-246/04442d01.JPG",448,813,653,819
"nd1/Fall2002/2002-246/04442d04.JPG",736,424,854,426
"nd1/Fall2002/2002-246/04442d05.JPG",731,431,848,436
"nd1/Fall2002/2002-246/04515d06.JPG",472,858,649,846
"nd1/Fall2002/2002-246/04515d07.JPG",438,854,620,842
"nd1/Fall2002/2002-246/04515d10.JPG",846,557,944,552
"nd1/Fall2002/2002-246/04515d11.JPG",840,565,940,560
"nd1/Fall2002/2002-246/04519d02.JPG",417,748,591,721
"nd1/Fall2002/2002-246/04519d03.JPG",449,760,621,732
"nd1/Fall2002/2002-246/04519d04.JPG",694,378,790,371
"nd1/Fall2002/2002-246/04519d05.JPG",700,377,794,370
"nd1/Fall2002/2002-246/04573d07.JPG",454,679,657,656
"nd1/Fall2002/2002-246/04573d08.JPG",469,673,667,644
"nd1/Fall2002/2002-246/04573d09.JPG",671,400,775,395
"nd1/Fall2002/2002-246/04573d10.JPG",667,391,774,383
"nd1/Fall2002/2002-247/04319d07.JPG",558,626,771,603
"nd1/Fall2002/2002-247/04319d08.JPG",528,655,731,637
"nd1/Fall2002/2002-247/04319d09.JPG",794,407,908,403
"nd1/Fall2002/2002-247/04319d10.JPG",800,409,917,404
"nd1/Fall2002/2002-247/04514d02.JPG",553,583,751,576
"nd1/Fall2002/2002-247/04514d03.JPG",547,586,750,574
"nd1/Fall2002/2002-247/04514d04.JPG",834,423,934,427
"nd1/Fall2002/2002-247/04514d05.JPG",831,426,933,431
"nd1/Fall2002/2002-248/04207d66.JPG",500,521,702,496
"nd1/Fall2002/2002-248/04207d67.JPG",497,516,701,489
"nd1/Fall2002/2002-248/04207d68.JPG",693,613,795,605
"nd1/Fall2002/2002-248/04207d69.JPG",699,615,802,607
"nd1/Fall2002/2002-248/04227d60.JPG",558,543,750,524
"nd1/Fall2002/2002-248/04227d61.JPG",544,571,739,542
"nd1/Fall2002/2002-248/04227d62.JPG",622,505,726,503
"nd1/Fall2002/2002-248/04227d63.JPG",634,514,736,510
"nd1/Fall2002/2002-248/04265d50.JPG",567,749,752,744
"nd1/Fall2002/2002-248/04265d51.JPG",563,758,749,738
"nd1/Fall2002/2002-248/04265d52.JPG",828,599,922,608
"nd1/Fall2002/2002-248/04265d53.JPG",781,611,876,614
"nd1/Fall2002/2002-248/04273d36.JPG",614,655,816,638
"nd1/Fall2002/2002-248/04273d37.JPG",613,664,812,652
"nd1/Fall2002/2002-248/04273d40.JPG",702,460,802,453
"nd1/Fall2002/2002-248/04273d41.JPG",709,457,812,452
"nd1/Fall2002/2002-248/04295d06.JPG",586,521,766,493
"nd1/Fall2002/2002-248/04295d07.JPG",575,530,750,504
"nd1/Fall2002/2002-248/04295d10.JPG",756,408,853,403
"nd1/Fall2002/2002-248/04295d11.JPG",825,416,923,416
"nd1/Fall2002/2002-248/04350d00.JPG",513,527,724,514
"nd1/Fall2002/2002-248/04350d01.JPG",552,543,752,513
"nd1/Fall2002/2002-248/04350d04.JPG",574,647,688,648
"nd1/Fall2002/2002-248/04350d05.JPG",563,656,676,655
"nd1/Fall2002/2002-248/04403d08.JPG",563,544,743,532
"nd1/Fall2002/2002-248/04403d09.JPG",562,542,750,526
"nd1/Fall2002/2002-248/04403d10.JPG",654,649,751,650
"nd1/Fall2002/2002-248/04403d11.JPG",641,644,737,644
"nd1/Fall2002/2002-248/04423d06.JPG",464,763,646,737
"nd1/Fall2002/2002-248/04423d07.JPG",491,759,669,737
"nd1/Fall2002/2002-248/04423d10.JPG",592,554,685,549
"nd1/Fall2002/2002-248/04423d11.JPG",593,543,685,543
"nd1/Fall2002/2002-248/04429d02.JPG",522,566,711,553
"nd1/Fall2002/2002-248/04429d03.JPG",495,577,688,569
"nd1/Fall2002/2002-248/04429d04.JPG",698,571,800,581
"nd1/Fall2002/2002-248/04429d05.JPG",695,563,797,574
"nd1/Fall2002/2002-248/04433d00.JPG",323,648,535,624
"nd1/Fall2002/2002-248/04433d01.JPG",396,608,606,605
"nd1/Fall2002/2002-248/04433d04.JPG",681,371,790,364
"nd1/Fall2002/2002-248/04433d05.JPG",667,381,773,364
"nd1/Fall2002/2002-253/02463d184.JPG",495,425,718,420
"nd1/Fall2002/2002-253/02463d185.JPG",509,433,735,430
"nd1/Fall2002/2002-253/02463d186.JPG",721,344,834,347
"nd1/Fall2002/2002-253/02463d187.JPG",759,347,874,352
"nd1/Fall2002/2002-253/04201d66.JPG",481,384,675,362
"nd1/Fall2002/2002-253/04201d67.JPG",484,386,679,366
"nd1/Fall2002/2002-253/04201d68.JPG",731,458,835,460
"nd1/Fall2002/2002-253/04201d69.JPG",735,463,837,465
"nd1/Fall2002/2002-253/04212d66.JPG",600,831,785,824
"nd1/Fall2002/2002-253/04212d67.JPG",609,822,796,822
"nd1/Fall2002/2002-253/04212d68.JPG",819,400,923,402
"nd1/Fall2002/2002-253/04212d69.JPG",831,398,938,402
"nd1/Fall2002/2002-253/04233d42.JPG",462,955,675,942
"nd1/Fall2002/2002-253/04233d43.JPG",418,984,635,974
"nd1/Fall2002/2002-253/04233d44.JPG",776,561,890,562
"nd1/Fall2002/2002-253/04233d45.JPG",784,569,899,568
"nd1/Fall2002/2002-253/04358d14.JPG",626,711,782,701
"nd1/Fall2002/2002-253/04358d15.JPG",577,717,741,701
"nd1/Fall2002/2002-253/04358d16.JPG",783,558,874,556
"nd1/Fall2002/2002-253/04358d17.JPG",790,559,879,561
"nd1/Fall2002/2002-253/04397d14.JPG",573,521,764,495
"nd1/Fall2002/2002-253/04397d15.JPG",555,542,749,511
"nd1/Fall2002/2002-253/04397d16.JPG",620,459,716,455
"nd1/Fall2002/2002-253/04397d17.JPG",674,463,772,463
"nd1/Fall2002/2002-253/04415d06.JPG",539,403,727,385
"nd1/Fall2002/2002-253/04415d07.JPG",545,386,738,367
"nd1/Fall2002/2002-253/04415d10.JPG",754,359,849,359
"nd1/Fall2002/2002-253/04415d11.JPG",664,361,765,361
"nd1/Fall2002/2002-253/04424d12.JPG",659,481,845,447
"nd1/Fall2002/2002-253/04424d13.JPG",663,488,844,457
"nd1/Fall2002/2002-253/04424d16.JPG",780,441,878,435
"nd1/Fall2002/2002-253/04424d17.JPG",799,442,895,438
"nd1/Fall2002/2002-253/04489d14.JPG",400,689,578,677
"nd1/Fall2002/2002-253/04489d15.JPG",379,708,561,688
"nd1/Fall2002/2002-253/04489d16.JPG",760,394,858,399
"nd1/Fall2002/2002-253/04489d17.JPG",757,407,857,397
"nd1/Fall2002/2002-253/04558d14.JPG",455,570,652,557
"nd1/Fall2002/2002-253/04558d15.JPG",424,565,619,551
"nd1/Fall2002/2002-253/04558d16.JPG",736,641,842,641
"nd1/Fall2002/2002-253/04558d17.JPG",751,637,859,637
"nd1/Fall2002/2002-253/04579d12.JPG",535,425,715,413
"nd1/Fall2002/2002-253/04579d13.JPG",508,429,687,418
"nd1/Fall2002/2002-253/04579d16.JPG",871,514,969,519
"nd1/Fall2002/2002-253/04579d17.JPG",877,528,973,529
"nd1/Fall2002/2002-254/04221d72.JPG",521,615,724,603
"nd1/Fall2002/2002-254/04221d73.JPG",490,621,694,608
"nd1/Fall2002/2002-254/04221d74.JPG",806,714,912,717
"nd1/Fall2002/2002-254/04221d75.JPG",811,712,920,714
"nd1/Fall2002/2002-254/04228d70.JPG",486,689,694,684
"nd1/Fall2002/2002-254/04228d71.JPG",547,707,754,702
"nd1/Fall2002/2002-254/04228d74.JPG",742,762,851,766
"nd1/Fall2002/2002-254/04228d75.JPG",779,749,884,752
"nd1/Fall2002/2002-254/04229d70.JPG",547,557,761,549
"nd1/Fall2002/2002-254/04229d71.JPG",568,559,782,552
"nd1/Fall2002/2002-254/04229d74.JPG",824,518,939,515
"nd1/Fall2002/2002-254/04229d75.JPG",841,508,955,507
"nd1/Fall2002/2002-254/04243d58.JPG",559,637,744,617
"nd1/Fall2002/2002-254/04243d59.JPG",565,634,750,613
"nd1/Fall2002/2002-254/04243d62.JPG",742,304,849,299
"nd1/Fall2002/2002-254/04243d63.JPG",744,309,853,303
"nd1/Fall2002/2002-254/04305d14.JPG",613,617,778,603
"nd1/Fall2002/2002-254/04305d15.JPG",625,628,790,607
"nd1/Fall2002/2002-254/04305d16.JPG",809,524,906,517
"nd1/Fall2002/2002-254/04305d17.JPG",811,530,908,521
"nd1/Fall2002/2002-254/04319d11.JPG",510,532,725,508
"nd1/Fall2002/2002-254/04319d12.JPG",486,549,700,522
"nd1/Fall2002/2002-254/04319d15.JPG",777,416,893,414
"nd1/Fall2002/2002-254/04319d16.JPG",751,407,868,404
"nd1/Fall2002/2002-254/04322d00.JPG",556,602,759,588
"nd1/Fall2002/2002-254/04322d01.JPG",562,618,767,603
"nd1/Fall2002/2002-254/04322d04.JPG",750,245,856,243
"nd1/Fall2002/2002-254/04322d05.JPG",750,246,855,242
"nd1/Fall2002/2002-254/04335d12.JPG",463,628,642,603
"nd1/Fall2002/2002-254/04335d13.JPG",499,637,682,614
"nd1/Fall2002/2002-254/04335d16.JPG",886,640,991,629
"nd1/Fall2002/2002-254/04335d17.JPG",857,641,961,629
"nd1/Fall2002/2002-254/04402d14.JPG",469,721,652,706
"nd1/Fall2002/2002-254/04402d15.JPG",435,731,619,716
"nd1/Fall2002/2002-254/04402d16.JPG",820,574,920,577
"nd1/Fall2002/2002-254/04402d17.JPG",812,585,914,587
"nd1/Fall2002/2002-254/04434d08.JPG",524,675,738,640
"nd1/Fall2002/2002-254/04434d09.JPG",542,681,757,648
"nd1/Fall2002/2002-254/04434d10.JPG",919,600,1033,606
"nd1/Fall2002/2002-254/04434d11.JPG",832,610,944,598
"nd1/Fall2002/2002-254/04461d14.JPG",518,546,722,527
"nd1/Fall2002/2002-254/04461d15.JPG",507,538,716,526
"nd1/Fall2002/2002-254/04461d16.JPG",830,604,940,601
"nd1/Fall2002/2002-254/04461d17.JPG",840,605,947,607
"nd1/Fall2002/2002-254/04512d12.JPG",453,612,653,590
"nd1/Fall2002/2002-254/04512d13.JPG",440,622,642,596
"nd1/Fall2002/2002-254/04512d16.JPG",769,386,877,382
"nd1/Fall2002/2002-254/04512d17.JPG",767,394,870,388
"nd1/Fall2002/2002-254/04522d12.JPG",531,681,732,671
"nd1/Fall2002/2002-254/04522d13.JPG",527,683,725,672
"nd1/Fall2002/2002-254/04522d16.JPG",798,679,905,678
"nd1/Fall2002/2002-254/04522d17.JPG",767,679,874,675
"nd1/Fall2002/2002-254/04523d12.JPG",466,620,654,619
"nd1/Fall2002/2002-254/04523d13.JPG",464,628,652,623
"nd1/Fall2002/2002-254/04523d16.JPG",785,631,886,635
"nd1/Fall2002/2002-254/04523d17.JPG",765,636,864,639
"nd1/Fall2002/2002-254/04575d12.JPG",472,703,654,706
"nd1/Fall2002/2002-254/04575d13.JPG",431,705,615,701
"nd1/Fall2002/2002-254/04575d16.JPG",860,635,961,639
"nd1/Fall2002/2002-254/04575d17.JPG",870,634,972,638
"nd1/Fall2002/2002-255/04202d71.JPG",422,722,608,698
"nd1/Fall2002/2002-255/04202d72.JPG",417,729,604,703
"nd1/Fall2002/2002-255/04202d73.JPG",721,573,820,565
"nd1/Fall2002/2002-255/04202d74.JPG",755,542,858,541
"nd1/Fall2002/2002-255/04207d70.JPG",444,729,645,704
"nd1/Fall2002/2002-255/04207d71.JPG",456,707,660,687
"nd1/Fall2002/2002-255/04207d74.JPG",686,572,791,570
"nd1/Fall2002/2002-255/04207d75.JPG",679,577,782,571
"nd1/Fall2002/2002-255/04217d72.JPG",536,658,733,628
"nd1/Fall2002/2002-255/04217d73.JPG",522,647,722,620
"nd1/Fall2002/2002-255/04217d74.JPG",816,440,920,430
"nd1/Fall2002/2002-255/04217d75.JPG",854,439,957,434
"nd1/Fall2002/2002-255/04219d72.JPG",501,631,708,615
"nd1/Fall2002/2002-255/04219d73.JPG",505,619,706,601
